,0
0,0.005
1,0.005
2,0.005
3,0.005
4,0.005
5,200.00400000000002
6,200.00400000000002
7,200.00400000000002
8,400.00300000000004
9,400.00300000000004
10,400.00300000000004
11,400.00300000000004
12,400.00300000000004
13,400.00300000000004
14,400.00300000000004
15,205.00300000000001
16,205.00300000000001
17,205.00300000000001
18,10.003
19,10.003
20,10.003
21,10.003
22,10.003
23,10.003
24,10.003
25,10.003
26,10.003
27,10.003
28,10.003
29,10.003
30,10.003
31,10.003
32,10.003
33,10.003
34,10.003
35,10.003
36,10.003
37,10.003
38,205.00300000000001
39,205.00300000000001
40,205.00300000000001
41,205.00300000000001
42,205.00300000000001
43,205.00300000000001
44,205.00300000000001
45,205.00300000000001
46,205.00300000000001
47,210.002
48,15.002000000000002
49,15.002000000000002
50,210.002
51,210.002
52,210.002
53,210.002
54,210.002
55,210.002
56,205.00300000000001
57,205.00300000000001
58,205.00300000000001
59,205.00300000000001
60,205.00300000000001
61,205.00300000000001
62,205.00300000000001
63,205.00300000000001
64,205.00300000000001
65,10.003
66,5.004
67,5.004
68,5.004
69,5.004
70,5.004
71,5.004
72,5.004
73,5.004
74,5.004
75,5.004
76,5.004
77,5.004
78,5.004
79,5.004
80,200.00400000000002
81,200.00400000000002
82,200.00400000000002
83,200.00400000000002
84,200.00400000000002
85,200.00400000000002
86,200.00400000000002
87,200.00400000000002
88,200.00400000000002
89,200.00400000000002
90,200.00400000000002
91,200.00400000000002
92,200.00400000000002
93,200.00400000000002
94,200.00400000000002
95,205.00300000000001
96,205.00300000000001
97,205.00300000000001
98,205.00300000000001
99,205.00400000000002
100,205.00400000000002
101,205.00400000000002
102,205.00400000000002
103,205.00400000000002
104,205.00400000000002
105,10.004
106,10.004
107,10.004
108,10.004
109,10.004
110,205.00400000000002
111,205.00400000000002
112,205.00400000000002
113,205.00400000000002
114,205.00400000000002
115,205.00400000000002
116,205.00400000000002
117,205.00400000000002
118,205.00400000000002
119,205.00400000000002
120,205.00400000000002
121,205.00400000000002
122,205.00400000000002
123,205.00400000000002
124,205.00400000000002
125,205.00400000000002
126,205.00400000000002
127,205.00400000000002
128,205.00400000000002
129,205.00400000000002
130,205.00400000000002
131,205.00400000000002
132,205.00400000000002
133,205.00400000000002
134,205.00400000000002
135,10.004
136,10.004
137,10.004
138,10.004
139,10.004
140,205.00400000000002
141,205.00400000000002
142,205.00400000000002
143,205.00400000000002
144,205.00400000000002
145,226.00300000000001
146,226.00300000000001
147,226.00300000000001
148,221.00400000000002
149,221.00400000000002
150,221.00400000000002
151,221.00400000000002
152,221.00400000000002
153,221.00400000000002
154,221.00400000000002
155,26.004
156,26.004
157,26.004
158,26.004
159,26.004
160,26.004
161,26.004
162,26.004
163,26.004
164,226.00300000000001
165,226.00300000000001
166,226.00300000000001
167,226.00300000000001
168,226.00300000000001
169,226.00300000000001
170,421.00300000000004
171,421.00300000000004
172,421.00300000000004
173,421.00300000000004
174,226.00300000000001
175,226.00300000000001
176,226.00300000000001
177,226.00300000000001
178,226.00300000000001
179,226.00300000000001
180,226.00300000000001
181,226.00300000000001
182,226.00300000000001
183,226.00300000000001
184,231.002
185,36.002
186,36.002
187,36.002
188,36.002
189,36.002
190,36.002
191,36.002
192,36.002
193,36.002
194,231.002
195,31.003
196,31.003
197,31.003
198,31.003
199,31.003
200,226.00300000000001
201,226.00300000000001
202,226.00300000000001
203,226.00300000000001
204,426.002
205,426.002
206,426.002
207,426.002
208,426.002
209,426.002
210,426.002
211,426.002
212,426.002
213,426.002
214,231.002
215,36.002
216,36.002
217,36.002
218,36.002
219,36.002
220,36.002
221,36.002
222,36.002
223,36.002
224,36.002
225,36.002
226,36.002
227,36.002
228,36.002
229,36.002
230,231.002
231,231.002
232,231.002
233,231.002
234,426.002
235,426.002
236,226.00300000000001
237,226.00300000000001
238,426.002
239,426.002
240,426.002
241,440.001
242,440.001
243,440.001
244,440.001
245,245.001
246,245.001
247,245.001
248,50.001
249,50.001
250,50.001
251,50.001
252,50.001
253,50.001
254,50.001
255,50.001
256,50.001
257,50.001
258,50.001
259,50.001
260,245.001
261,245.001
262,245.001
263,245.001
264,245.001
265,245.001
266,245.001
267,245.001
268,240.002
269,440.001
270,440.001
271,440.001
272,440.001
273,440.001
274,440.001
275,245.001
276,245.001
277,245.001
278,245.001
279,50.001
280,50.001
281,50.001
282,50.001
283,50.001
284,50.001
285,50.001
286,50.001
287,50.001
288,50.001
289,29.002
290,224.002
291,224.002
292,224.002
293,224.002
294,224.002
295,224.002
296,224.002
297,224.002
298,224.002
299,419.002
300,219.00300000000001
301,219.00300000000001
302,219.00300000000001
303,224.002
304,224.002
305,29.002
306,29.002
307,29.002
308,29.002
309,29.002
310,29.002
311,29.002
312,29.002
313,29.002
314,29.002
315,29.002
316,29.002
317,29.002
318,224.002
319,224.002
320,414.00300000000004
321,414.00300000000004
322,414.00300000000004
323,414.00300000000004
324,414.00300000000004
325,414.00300000000004
326,414.00300000000004
327,414.00300000000004
328,414.00300000000004
329,414.00300000000004
330,414.002
331,414.002
332,414.002
333,219.002
334,219.002
335,19.002999999999997
336,19.002999999999997
337,19.002999999999997
338,19.002999999999997
339,24.002
340,24.002
341,24.002
342,24.002
343,24.002
