,0
0,0.004
1,0.004
2,0.004
3,0.004
4,0.004
5,0.004
6,0.004
7,0.004
8,0.004
9,0.004
10,0.004
11,0.004
12,0.004
13,0.004
14,0.005
15,0.005
16,0.005
17,0.005
18,0.005
19,0.005
20,0.005
21,0.005
22,5.0040000000000004
23,5.0040000000000004
24,5.0040000000000004
25,5.0040000000000004
26,5.0040000000000004
27,5.0040000000000004
28,5.0040000000000004
29,5.0040000000000004
30,5.0040000000000004
31,5.005
32,5.005
33,5.005
34,5.005
35,5.005
36,5.005
37,5.005
38,5.005
39,5.005
40,5.005
41,5.005
42,5.005
43,5.005
44,5.005
45,5.005
46,5.005
47,5.005
48,5.005
49,5.005
50,5.005
51,5.005
52,5.005
53,5.005
54,5.005
55,5.005
56,5.005
57,5.005
58,5.005
59,5.005
60,5.005
61,5.005
62,5.005
63,5.005
64,5.005
65,5.005
66,5.005
67,5.005
68,5.005
69,5.005
70,5.005
71,5.005
72,5.005
73,5.005
74,5.005
75,5.005
76,5.005
77,5.005
78,5.005
79,5.005
80,5.005
81,5.005
82,5.005
83,5.005
84,5.005
85,5.005
86,5.005
87,5.005
88,5.005
89,5.005
90,5.005
91,5.005
92,5.005
93,10.004000000000001
94,10.005
95,10.005
96,10.005
97,10.005
98,10.005
99,10.005
100,10.006
101,10.006
102,10.006
103,10.006
104,10.006
105,10.006
106,10.006
107,10.006
108,17.005
109,17.005
110,17.005
111,17.005
112,17.005
113,17.005
114,17.005
115,17.005
116,17.005
117,17.005
118,17.005
119,17.005
120,17.005
121,17.005
122,17.005
123,17.005
124,17.005
125,17.005
126,17.005
127,17.005
128,17.005
129,17.005
130,17.005
131,22.004
132,22.004
133,22.004
134,22.004
135,22.004
136,22.004
137,22.004
138,22.004
139,22.004
140,22.004
141,22.005000000000003
142,22.005000000000003
143,22.005000000000003
144,22.005000000000003
145,22.005000000000003
146,22.005000000000003
147,22.005000000000003
148,22.005000000000003
149,22.005000000000003
150,22.005000000000003
151,22.005000000000003
152,36.004000000000005
153,36.004999999999995
154,36.004999999999995
155,36.004999999999995
156,36.004999999999995
157,36.004999999999995
158,36.004999999999995
159,31.006
160,31.006
161,31.006
162,31.006
163,31.006
164,31.006
165,31.006
166,31.006
167,31.006
168,31.006
169,31.006
170,31.006
171,31.006
172,31.006
173,31.006
174,31.006
175,31.006
176,31.006
177,31.006
178,31.006
179,31.006
180,31.006
181,31.006
182,31.006
183,31.006
184,31.006
185,31.006
186,31.006
187,31.006
188,31.006
189,31.006
190,31.006
191,31.006
192,38.005
193,45.004
194,45.004
195,45.004
196,45.004
197,45.004
198,45.004
199,45.004
200,45.004
201,45.004
202,45.004
203,45.004
204,45.004
205,45.004
206,45.004
207,45.004
208,45.004
209,45.004
210,45.004
211,45.004
212,45.004
213,45.004
214,45.004
215,45.004
216,45.004
217,45.004
218,45.004
219,45.004
220,40.004999999999995
221,40.004999999999995
222,40.004999999999995
223,40.004999999999995
224,40.004999999999995
225,40.004999999999995
226,40.004999999999995
227,40.004999999999995
228,40.004999999999995
229,40.004999999999995
230,47.004
231,47.004
232,52.003
233,52.003
234,45.004000000000005
235,59.003
236,59.003
237,59.003
238,59.003
239,59.003
240,59.003
241,59.003
242,59.003
243,59.003
244,59.003
245,59.003
246,59.003
247,59.003
248,45.004000000000005
249,45.004000000000005
250,45.004000000000005
251,45.004000000000005
252,45.004000000000005
253,45.004000000000005
254,45.004000000000005
255,45.004000000000005
256,45.004000000000005
257,45.004000000000005
258,45.004000000000005
259,45.004000000000005
260,45.004000000000005
261,45.004000000000005
262,45.004000000000005
263,45.004000000000005
264,45.004000000000005
265,45.004000000000005
266,45.004000000000005
267,45.004000000000005
268,45.004000000000005
269,45.004000000000005
270,45.004000000000005
271,45.004000000000005
